"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.53360000000E+009, -2.19076521575E+000, +0.00000000000E+000
+2.53440000000E+009, -1.92259691878E+000, +0.00000000000E+000
+2.53520000000E+009, -1.67281133330E+000, +0.00000000000E+000
+2.53600000000E+009, -1.42227767671E+000, +0.00000000000E+000
+2.53680000000E+009, -1.17689654642E+000, +0.00000000000E+000
+2.53760000000E+009, -9.43106439916E-001, +0.00000000000E+000
+2.53840000000E+009, -7.31257977265E-001, +0.00000000000E+000
+2.53920000000E+009, -5.24066829593E-001, +0.00000000000E+000
+2.54000000000E+009, -3.37671805258E-001, +0.00000000000E+000
+2.54080000000E+009, -1.60256392894E-001, +0.00000000000E+000
+2.54160000000E+009, +2.83068363472E-003, +0.00000000000E+000
+2.54240000000E+009, +1.59280625368E-001, +0.00000000000E+000
+2.54320000000E+009, +3.09690456733E-001, +0.00000000000E+000
+2.54400000000E+009, +4.50273235411E-001, +0.00000000000E+000
+2.54480000000E+009, +5.92305055845E-001, +0.00000000000E+000
+2.54560000000E+009, +7.35398134941E-001, +0.00000000000E+000
+2.54640000000E+009, +8.70958705799E-001, +0.00000000000E+000
+2.54720000000E+009, +1.00605401119E+000, +0.00000000000E+000
+2.54800000000E+009, +1.15470575395E+000, +0.00000000000E+000
+2.54880000000E+009, +1.29699080885E+000, +0.00000000000E+000
+2.54960000000E+009, +1.44758148892E+000, +0.00000000000E+000
+2.55040000000E+009, +1.59662974866E+000, +0.00000000000E+000
+2.55120000000E+009, +1.74249558923E+000, +0.00000000000E+000
+2.55200000000E+009, +1.88710619490E+000, +0.00000000000E+000
+2.55280000000E+009, +2.02092701867E+000, +0.00000000000E+000
+2.55360000000E+009, +2.13376265745E+000, +0.00000000000E+000
+2.55440000000E+009, +2.24412028045E+000, +0.00000000000E+000
+2.55520000000E+009, +2.33899586158E+000, +0.00000000000E+000
+2.55600000000E+009, +2.43058794319E+000, +0.00000000000E+000
+2.55680000000E+009, +2.50984081549E+000, +0.00000000000E+000
+2.55760000000E+009, +2.58214334819E+000, +0.00000000000E+000
+2.55840000000E+009, +2.64952828214E+000, +0.00000000000E+000
+2.55920000000E+009, +2.70770290765E+000, +0.00000000000E+000
+2.56000000000E+009, +2.76341239782E+000, +0.00000000000E+000
+2.56080000000E+009, +2.82858557710E+000, +0.00000000000E+000
+2.56160000000E+009, +2.88934397561E+000, +0.00000000000E+000
+2.56240000000E+009, +2.96231892039E+000, +0.00000000000E+000
+2.56320000000E+009, +3.04236061674E+000, +0.00000000000E+000
+2.56400000000E+009, +3.12459514394E+000, +0.00000000000E+000
+2.56480000000E+009, +3.22357953820E+000, +0.00000000000E+000
+2.56560000000E+009, +3.32001476254E+000, +0.00000000000E+000
+2.56640000000E+009, +3.42622923635E+000, +0.00000000000E+000
+2.56720000000E+009, +3.53049145526E+000, +0.00000000000E+000
+2.56800000000E+009, +3.62253393284E+000, +0.00000000000E+000
+2.56880000000E+009, +3.70370307606E+000, +0.00000000000E+000
+2.56960000000E+009, +3.77817244650E+000, +0.00000000000E+000
+2.57040000000E+009, +3.84033342620E+000, +0.00000000000E+000
+2.57120000000E+009, +3.90314039619E+000, +0.00000000000E+000
+2.57200000000E+009, +3.92994130246E+000, +0.00000000000E+000
+2.57280000000E+009, +3.96374573999E+000, +0.00000000000E+000
+2.57360000000E+009, +3.99361810545E+000, +0.00000000000E+000
+2.57440000000E+009, +4.01757077532E+000, +0.00000000000E+000
+2.57520000000E+009, +4.04368992521E+000, +0.00000000000E+000
+2.57600000000E+009, +4.08160367287E+000, +0.00000000000E+000
+2.57680000000E+009, +4.11529813454E+000, +0.00000000000E+000
+2.57760000000E+009, +4.16122204184E+000, +0.00000000000E+000
+2.57840000000E+009, +4.20844470380E+000, +0.00000000000E+000
+2.57920000000E+009, +4.27008384500E+000, +0.00000000000E+000
+2.58000000000E+009, +4.34154444668E+000, +0.00000000000E+000
+2.58080000000E+009, +4.41679670718E+000, +0.00000000000E+000
+2.58160000000E+009, +4.49913806624E+000, +0.00000000000E+000
+2.58240000000E+009, +4.58156156854E+000, +0.00000000000E+000
+2.58320000000E+009, +4.65023387543E+000, +0.00000000000E+000
+2.58400000000E+009, +4.71332728991E+000, +0.00000000000E+000
+2.58480000000E+009, +4.76532771944E+000, +0.00000000000E+000
+2.58560000000E+009, +4.80719410406E+000, +0.00000000000E+000
+2.58640000000E+009, +4.84478922564E+000, +0.00000000000E+000
+2.58720000000E+009, +4.85228295448E+000, +0.00000000000E+000
+2.58800000000E+009, +4.86546915814E+000, +0.00000000000E+000
+2.58880000000E+009, +4.86106998324E+000, +0.00000000000E+000
+2.58960000000E+009, +4.85039157936E+000, +0.00000000000E+000
+2.59040000000E+009, +4.85411447913E+000, +0.00000000000E+000
+2.59120000000E+009, +4.87339141803E+000, +0.00000000000E+000
+2.59200000000E+009, +4.89272582920E+000, +0.00000000000E+000
+2.59280000000E+009, +4.93036123607E+000, +0.00000000000E+000
+2.59360000000E+009, +4.96643883465E+000, +0.00000000000E+000
+2.59440000000E+009, +5.01655444736E+000, +0.00000000000E+000
+2.59520000000E+009, +5.07088670646E+000, +0.00000000000E+000
+2.59600000000E+009, +5.13154355745E+000, +0.00000000000E+000
+2.59680000000E+009, +5.20024760373E+000, +0.00000000000E+000
+2.59760000000E+009, +5.26576337457E+000, +0.00000000000E+000
+2.59840000000E+009, +5.31137198444E+000, +0.00000000000E+000
+2.59920000000E+009, +5.35698561378E+000, +0.00000000000E+000
+2.60000000000E+009, +5.37860133049E+000, +0.00000000000E+000
